,source,smog_index,coleman_liau_index,flesch_reading_ease,gunning_fog,automated_readability_index,linsear_write_formula,dale_chall_readability_score,error,error_binary
0,A Golden Rule Over Time_ Reciprocity in Intergenerational Allocation Decisions _ Academy of Management Journal,17.3,14.8,28.27,12.67,18.2,18.75,6.46,0.0,0.0
1,Charting Time_ Timelines as Temporal Boundary Objects _ Academy of Management Journal,14.1,13.69,42.11,10.83,15.0,19.5,6.55,0.0,0.0
2,Comparing Alternative Conceptualizations of Functional Diversity in Management Teams_ Process and Performance Effects _ Academy of Management Journal,17.7,17.12,21.23,12.15,19.6,21.25,6.41,0.0,0.0
3,Creative Self-Efficacy_ Its Potential Antecedents and Relationship to Creative Performance _ Academy of Management Journal,15.8,16.42,25.39,11.07,17.5,19.75,6.64,0.0,0.0
4,Fatigued and Dissatisfied or Fatigued but Satisfied_ Goal Orientations and Responses to High Job Demands _ Academy of Management Journal,14.9,15.32,34.05,11.02,16.8,19.5,6.62,0.0,0.0
5,Focusing on Midpoint Transitions_ An Analysis of Boundary Conditions _ Academy of Management Journal,15.5,14.74,38.76,12.29,17.3,18.0,6.69,0.0,0.0
6,How Similarity to Peers and Supervisor Influences Organizational Advancement in Different Cultures _ Academy of Management Journal,16.6,18.04,17.13,10.67,19.0,16.166666666666668,6.37,0.0,0.0
7,Inertia and Evaluation Mechanisms in Interorganizational Partner Selection_ Syndicate Formation among U.S. Investment Banks _ Academy of Management Journal,14.7,15.14,34.15,10.54,16.5,14.0,6.39,0.0,0.0
8,Management Challenges in A New Time _ Academy of Management Journal,15.3,15.78,33.24,11.67,17.0,29.5,7.07,0.0,0.0
9,Microlevel Opportunity Structures as Determinants of Non-CEO Executive Pay _ Academy of Management Journal,17.0,17.18,22.55,11.59,19.6,26.333333333333332,6.35,0.0,0.0
10,New Product Search Over Time_ Past Ideas in Their Prime_ _ Academy of Management Journal,14.6,16.36,36.08,9.93,16.4,25.333333333333332,6.38,0.0,0.0
