,source,error,error_binary,smog_index,coleman_liau_index,flesch_reading_ease,gunning_fog,automated_readability_index,linsear_write_formula,dale_chall_readability_score
0,10.5465.amj.2015.1196,1.0,1,15.2,14.91,34.05,10.46,16.3,25.66666667,6.24
1,10.5465.amj.2016.1322,0.0,0,15.4,15.2,32.12,10.98,17.6,18.75,6.18
2,10.5465.amj.2017.0149,0.0,0,15.6,16.88,26.71,10.54,17.8,16.0,6.5
3,10.5465.amj.2017.0245,0.0,0,15.6,15.14,32.94,11.0,17.1,18.5,6.39
4,A (Blurry) Vision of the Future_ How Leader Rhetoric about Ultimate Goals Influences Performance,0.0,0,15.7,14.86,-62.67,11.81,17.5,18.0,6.46
5,A Longitudinal Examination of the Influence of Mentoring on Organizational Commitment and Turnover _ Academy of Management Journal,0.0,0,15.7,17.11,27.42,10.2,17.2,24.0,6.53
6,"A Multilevel Field Investigation of Emotional Labor, Affect, Work Withdrawal, and Gender",0.0,0,16.1,16.08,-87.04,11.27,18.2,13.33333333,6.25
7,A New Model of Work Role Performance_ Positive Behavior in Uncertain and Interdependent Contexts,0.0,0,16.2,15.78,-85.21,10.85,17.3,15.2,6.3
8,A Social Mindfulness Approach to Understanding Experienced Customer Mistreatment_ A Within-person Field Experiment _ Academy of Management Journal,0.0,0,15.9,16.77,25.59,10.55,18.0,19.75,6.31
9,Actions Speak Louder than Words_ How Figurative Language and Gesturing in Entrepreneurial Pitches Influences Investment Judgments _ Academy of Management Journal,1.0,1,15.9,15.55,36.32,12.98,19.4,17.25,6.64
10,An Approach–Avoidance Framework of Workplace Aggression,0.0,0,16.9,17.0,-71.13,11.89,19.5,16.0,6.4
11,Bored by Interest_ How Intrinsic Motivation in One Task Can Reduce Performance on Other Tasks _ Academy of Management Journal,1.0,1,15.1,15.83,36.49,9.79,16.6,19.75,6.33
12,"Business Group Affiliation, Performance, Context, and Strategy_ A Meta-analysis",0.0,0,16.5,17.18,-70.52,12.15,19.3,16.0,6.77
13,Cognitive Team Diversity and Individual Team Member Creativity_ A Cross-Level Interaction,1.0,1,16.9,17.17,-84.91,11.02,18.3,22.0,6.48
14,"Collective Organizational Engagement_ Linking Motivational Antecedents, Strategic Implementation, and Firm Performance",0.0,0,17.7,17.7,-88.56,12.1,20.1,12.85714286,6.46
15,Compromised Ethics in Hiring Processes_ How Referrers’ Power Affects Employees’ Reactions to Referral Practices _ Academy of Management Journal,0.0,0,16.9,14.45,28.27,12.36,18.5,25.0,6.33
16,Cracking but not Breaking_ Joint Effects of Faultline Strength and Diversity Climate on Loyal Behavior,0.0,0,16.4,16.88,-77.97,11.26,18.8,24.33333333,6.4
17,"Creative, Rare, Entitled, and Dishonest_ How Commonality of Creativity in One’s Group Decreases an Individual’s Entitlement and Dishonesty",2.0,1,17.4,15.44,-63.48,11.88,18.5,17.4,6.25
18,Different Views of Hierarchy and Why They Matter_ Hierarchy as Inequality or as Cascading Influence,0.0,0,16.6,16.08,-62.37,11.72,18.4,12.66666667,6.41
19,Discordant vs. Harmonious Selves_ The Effects of Identity Conflict and Enhancement on Sales Performance in Employee–Customer Interactions,1.0,1,16.3,16.77,-75.94,10.06,17.8,17.6,6.01
20,Discrimination in Selection Decisions_ Integrating Stereotype Fit and Interdependence Theories,1.0,1,17.5,16.13,-72.05,12.01,19.3,18.75,6.32
21,"Diversity Thresholds_ How Social Norms, Visibility, and Scrutiny Relate to Group Composition _ Academy of Management Journal",0.0,0,16.9,15.09,27.86,12.58,19.0,18.25,6.35
22,Do Interviewers Sell Themselves Short_ The Effects of Selling Orientation on Interviewers' Judgments,0.0,0,18.0,16.89,-82.54,12.67,20.8,16.0,6.34
23,Does Anger Expression Help or Harm Leader Effectiveness_ The Role of Competence-based versus Integrity-based Violations and Abusive Supervision _ Academy of Management Journal,0.0,0,16.8,17.0,22.95,11.54,19.1,19.25,6.43
24,Does Proactive Personality Matter in Leadership Transitions_ Effects of Proactive Personality on New Leader Identification and Responses to New Leaders and their Change Agendas,1.0,1,15.4,15.49,-69.3,11.27,17.5,15.8,6.45
25,Does “Could” Lead to Good_ On the Road to Moral Insight _ Academy of Management Journal,5.0,1,15.8,14.8,29.48,11.77,18.4,19.25,6.22
26,Economic Downturns Undermine Workplace Helping by Promoting a Zero-Sum Construal of Success,0.0,0,17.2,15.32,-64.6,12.88,18.7,15.0,6.7
27,Effects of Employees’ Positive Affective Displays on Customer Loyalty Intentions_ An Emotions-as-Social-Information Perspective,0.0,0,17.4,17.53,-70.73,11.85,19.5,16.4,6.51
28,"Employees' Goal Orientations, the Quality of Leader-Member Exchange, and the Outcomes of Job Performance and Job Satisfaction _ Academy of Management Journal",1.0,1,16.9,17.4,24.07,11.39,19.1,20.25,6.46
29,Empowered to Perform_ A Multilevel Investigation of the Influence of Empowerment on Performance in Hospital Units,0.0,0,16.6,16.71,-77.36,11.3,18.5,14.16666667,6.56
30,Engaged and Productive Misfits_ How Job Crafting and Leisure Activity Mitigate the Negative Effects of Value Incongruence,0.0,0,16.2,15.5,-53.4,11.34,17.8,13.5,6.27
31,Entrepreneurial Imaginativeness in New Venture Ideation _ Academy of Management Journal,0.0,0,13.7,16.7,31.48,8.69,15.8,16.2,6.31
32,Evaluating Novelty_ The Role of Panels in the Selection of R&D Projects,2.0,1,17.0,15.21,-65.41,12.96,18.9,25.66666667,6.58
33,"Facing Differences With an Open Mind_ Openness to Experience, Salience of Intragroup Differences, and Performance of Diverse Work Groups",2.0,1,17.0,15.9,-173.97,12.33,19.2,8.625,6.42
34,Friends and Foes_ The Dynamics of Dual Social Structures,0.0,0,16.7,16.37,-63.38,12.24,19.0,19.0,6.47
35,From Good Soldiers to Psychologically Entitled_ Examining When and Why Citizenship Behavior Leads to Deviance,0.0,0,16.2,15.43,-77.46,10.93,17.4,19.75,6.25
36,"Gender, Brokerage, and Performance_ A Construal Approach _ Academy of Management Journal",0.0,0,14.8,14.85,33.24,10.71,16.6,17.0,6.24
37,Giving Commitment_ Employee Support Programs and The Prosocial Sensemaking Process,0.0,0,18.9,16.43,-170.59,14.51,21.7,11.42857143,6.82
38,"Going for it on Fourth Down_ Rivalry Increases Risk Taking, Physiological Arousal, and Promotion Focus _ Academy of Management Journal",1.0,1,15.2,15.95,33.95,10.71,17.7,13.83333333,6.49
