,source,smog_index,coleman_liau_index,flesch_reading_ease,gunning_fog,automated_readability_index,linsear_write_formula,dale_chall_readability_score,lexicon_count,sentence_count
0,A Golden Rule Over Time_ Reciprocity in Intergenerational Allocation Decisions _ Academy of Management Journal,19.1,14.86,21.47,15.36,21.1,25.0,6.78,11569,355
1,Charting Time_ Timelines as Temporal Boundary Objects _ Academy of Management Journal,15.4,13.47,44.68,13.23,17.1,19.25,6.85,9947,377
2,Comparing Alternative Conceptualizations of Functional Diversity in Management Teams_ Process and Performance Effects _ Academy of Management Journal,20.9,16.84,9.66,16.81,24.4,21.25,7.03,9371,261
3,Creative Self-Efficacy_ Its Potential Antecedents and Relationship to Creative Performance _ Academy of Management Journal,18.1,16.19,17.57,14.32,20.3,15.4,7.1,6067,216
4,Fatigued and Dissatisfied or Fatigued but Satisfied_ Goal Orientations and Responses to High Job Demands _ Academy of Management Journal,18.1,16.14,25.12,15.01,20.4,19.5,7.32,4228,146
5,Focusing on Midpoint Transitions_ An Analysis of Boundary Conditions _ Academy of Management Journal,16.7,14.46,33.48,14.3,19.1,18.0,6.92,5509,189
6,How Similarity to Peers and Supervisor Influences Organizational Advancement in Different Cultures _ Academy of Management Journal,19.4,18.34,1.16,13.91,21.9,16.166666666666668,6.89,8100,293
7,Inertia and Evaluation Mechanisms in Interorganizational Partner Selection_ Syndicate Formation among U.S. Investment Banks _ Academy of Management Journal,17.6,14.63,32.16,14.86,19.9,14.166666666666666,7.05,8573,282
8,Management Challenges in A New Time _ Academy of Management Journal,18.9,16.31,19.13,17.74,23.5,19.666666666666668,8.05,7299,209
9,Microlevel Opportunity Structures as Determinants of Non-CEO Executive Pay _ Academy of Management Journal,19.9,16.6,12.7,15.89,22.8,26.333333333333332,7.09,8821,268
10,New Product Search Over Time_ Past Ideas in Their Prime_ _ Academy of Management Journal,17.0,14.97,27.15,13.46,18.7,25.333333333333332,6.78,8164,302
11,Newcomers' Relationships_ The Role of Social Network Ties During Socialization _ Academy of Management Journal,16.9,14.98,25.02,14.1,19.5,20.0,6.82,6640,228
12,Participative Decision Making and Employee Performance in Different Cultures_ The Moderating Effects of Allocentrism_Idiocentrism and Efficacy _ Academy of Management Journal,19.4,17.94,8.4,15.02,21.8,23.5,7.43,4257,148
13,Power Dynamics Within Top Management and Their Impacts on CEO Dismissal Followed by Inside Succession _ Academy of Management Journal,16.6,14.05,36.42,13.18,17.4,15.2,6.79,5923,226
14,"Something Old, Something New_ A Longitudinal Study of Search Behavior and New Product Introduction _ Academy of Management Journal",16.3,14.51,37.34,13.76,17.5,16.25,7.2,5754,227
15,The Conditioning Effect of Time on Firm Survival_ An Industry Life Cycle Approach _ Academy of Management Journal,18.7,15.79,22.68,15.43,21.2,19.25,7.03,11794,376
16,The Dialectics of Institutional Development in Emerging and Turbulent Fields_ The History of Pricing Conventions in The On-Line Database Industry _ Academy of Management Journal,17.9,16.54,18.49,13.74,20.1,28.666666666666668,6.85,16012,588
17,The Role of Power and Politics in the Repricing of Executive Options _ Academy of Management Journal,17.2,13.99,31.55,15.28,19.5,15.25,7.22,5618,181
18,The Speed Trap_ Exploring the Relationship Between Decision Making and Temporal Context _ Academy of Management Journal,16.3,12.94,42.65,13.73,17.7,15.4,6.71,10680,376
